ktax.id	tax.id	kegg.code	scientific.name	common.name	entrez.gnodes	kegg.geneid	ncbi.geneid	ncbi.proteinid	uniprot
T06588	1720083	lji	Acetilactobacillus jinshanensis		0	ELX58_06970	NA	QBP18839	A0A4V1ALU7
T00337	1624	lsl	Lactobacillus salivarius UCC118		0	LSL_0668	NA	ABD99478	Q1WU57
T01962	1624	lsi	Lactobacillus salivarius CECT 5713		0	HN6_01185	NA	ADJ79438	NA
T03340	1624	lsj	Ligilactobacillus salivarius JCM1046		0	LSJ_1299c	NA	AIR10961	A0A089QJ33
T01626	1623	lrm	Lactobacillus ruminis		0	LRC_11330	NA	AEN78395	G2SP82
T05198	1601	lagl	Ligilactobacillus agilis		0	BEN83_06230	NA	ASR41092	A0A231Q6P2
T05349	89059	laca	Lactobacillus acidipiscis		0	LAC1533_1804	NA	SFV41227	A0A1K1KQQ5
T06852	1605	lani	Ligilactobacillus animalis		0	FAX13_02250	NA	QCQ03499	NA
T07549	1622	lmur	Ligilactobacillus murinus		0	CPS94_02135	NA	AWZ37802	NA
T04754	375175	lbt	Loigolactobacillus backii		0	AYR52_00010	NA	ANK58783	A0A1Q8FCX3
T05341	1610	lcy	Loigolactobacillus coryniformis subsp. torquens		0	LC20004_06815	NA	ATO43637	A0A2D1KNB1
T03598	1193095	lho	Lactobacillus hokkaidonensis		0	LOOC260_116920	NA	BAP86198	A0A0A1GYX3
T06755	293371	lol	Paucilactobacillus oligofermentans		0	LACOL_1427	NA	CUS26748	A0A0R1RWR9
T06900	1296540	lnn	Paucilactobacillus nenjiangensis		0	F0161_10405	NA	QER68432	A0A5P1X3D2
T04112	148814	lku	Lactobacillus kunkeei		0	APS55_01865	NA	ALJ31047	A0A087EP63
T07159	2419772	abom	Apilactobacillus bombintestini		0	D7I45_00205	NA	AYF92017	A0A387APW6
T04675	240427	lpd	Secundilactobacillus paracollinoides		0	AYR62_10855	NA	ANZ64535	A0A1B2IY09
T06836	176292	lmae	Secundilactobacillus malefermentans		0	FGL90_05695	NA	QEA31713	NA
T00409	1255	ppe	Pediococcus pentosaceus ATCC 25745		0	PEPE_0295	NA	ABJ67392	Q03HD0
T02906	1255	ppen	Pediococcus pentosaceus SL4		0	T256_02950	NA	AHA04776	NA
T01713	187452	pce	Pediococcus claussenii		0	PECL_866	NA	AEV95139	G8PD04
T04321	51663	pdm	Pediococcus damnosus		0	ADU72_0300	NA	AMV66249	A0A143AWD7
T04512	1254	paci	Pediococcus acidilactici		0	A4V11_04855	NA	AOW74378	A0A1A5VBX9
T05337	114090	pio	Pediococcus inopinatus		0	PI20285_01080	NA	AVK99357	A0A0R2I748
T06823	231049	lros	Furfurilactobacillus rossiae		0	LROSL1_1375	NA	QLE64192	NA
T03990	1007676	lgn	Companilactobacillus ginsenosidimutans		0	ABM34_03285	NA	AKP66677	A0A0H4QFE9
T04057	1074467	lhi	Companilactobacillus heilongjiangensis		0	JP39_02740	NA	ALB28389	A0A0K2LAS1
T04712	392416	lct	Companilactobacillus crustorum		0	BI355_1127	NA	APU71446	NA
T05413	1847728	lalw	Companilactobacillus allii		0	BTM29_08090	NA	APX72509	A0A1P8Q3Y1
T05458	1602	lali	Companilactobacillus alimentarius		0	LA20249_08515	NA	AUI72220	A0A2K9HI52
T06098	1612	lfm	Companilactobacillus farciminis		0	LF20184_05530	NA	ATO46245	NA
T06807	2304606	lzh	Companilactobacillus zhachilii		0	D1B17_09130	NA	AYE38786	A0A386PS06
T06830	938155	lft	Companilactobacillus futsaii		0	FG051_00205	NA	QCX23620	A0A5B7SZ35
T07234	2714036	cpab	Companilactobacillus pabuli		0	G6534_04295	NA	QMT85324	A0A7L7L161
T00299	1599	lsa	Latilactobacillus sakei subsp. sakei		0	LCA_0659	NA	CAI54963	Q38XW6
