"gene_set","p.geomean","stat.mean","p.val","q.val","set.size","DCIS_1","DCIS_2","DCIS_3","DCIS_4","DCIS_5","DCIS_6"
"hsa03430 Mismatch repair",0.189341925095057,0.723816387256624,0.041499201321836,0.201680696947418,21,0.0721476417632006,0.669910932909665,0.582227905018376,0.245487523096606,0.0465157248473411,0.143390140851667
"hsa00030 Pentose phosphate pathway",0.20582664641301,0.71732424801049,0.0418684931461491,0.201680696947418,24,0.666559385390803,0.180181159935711,0.179171059765211,0.0708308174209648,0.436627026322665,0.114251163514035
"hsa03030 DNA replication",0.17989277619012,0.713327091112677,0.0423939285630629,0.201680696947418,33,0.351203208268156,0.826374897720151,0.300277032030741,0.0243536651690984,0.112420713615189,0.14204108151014
"hsa00051 Fructose and mannose metabolism",0.213845893679001,0.708798360566859,0.0428571481013263,0.201680696947418,31,0.5097448150028,0.107760871294133,0.0952500100145532,0.505613254259269,0.296174525902321,0.122056355535848
"hsa04621 NOD-like receptor signaling pathway",0.188282540711528,0.683188526432652,0.0491903327379799,0.22487009251648,50,0.325878569547216,0.449744889324459,0.129303928195132,0.560927904594609,0.00951088806441451,0.440654721424973
"hsa04623 Cytosolic DNA-sensing pathway",0.212050317245569,0.631793466047956,0.0630745561018728,0.280331360452768,42,0.363872319361166,0.450358789207771,0.0854726823895399,0.579084475800095,0.0255125827616681,0.43934148608301
"hsa00770 Pantothenate and CoA biosynthesis",0.227848657073666,0.632700426319239,0.0654186559879571,0.282591667134069,14,0.550591180667915,0.133253793288575,0.11352535144421,0.693206800924582,0.194629457120914,0.124510439691145
"hsa03450 Non-homologous end-joining",0.259284388654516,0.627743287491094,0.0671155209443415,0.282591667134069,12,0.272592745453866,0.25850592403698,0.260639970018309,0.504360848414984,0.124214983872182,0.26406877399396
"hsa00600 Sphingolipid metabolism",0.24520985173818,0.609080100030176,0.0699295986669178,0.284145799042712,28,0.107487822738293,0.306676687502444,0.443656776489466,0.0977014044356902,0.579905714942751,0.262350649712153
"hsa04210 Apoptosis",0.227326312274622,0.599793589124987,0.0717797239467138,0.284145799042712,81,0.247983027118058,0.718707695695919,0.153870980273619,0.529367365591392,0.0531132545784529,0.178981106779421
"hsa03440 Homologous recombination",0.260313164130482,0.60039297872291,0.0728123610046951,0.284145799042712,26,0.319590023895822,0.364053410997754,0.345805000062818,0.17510338197264,0.0980123143745103,0.450621616051746
"hsa00563 Glycosylphosphatidylinositol(GPI)-anchor biosynthesis",0.192138741357736,0.574460872611859,0.0857592969122482,0.326702083475231,19,0.0569033845663304,0.371041073070959,0.910693875292943,0.508122688760467,0.0272281323955452,0.189134478245132
"hsa00760 Nicotinate and nicotinamide metabolism",0.254741385225186,0.553410408017645,0.0921161040750225,0.330803249057588,17,0.497887886199785,0.172762359956934,0.0708352883541772,0.352295679440158,0.659777322201786,0.192957641223542
"hsa04380 Osteoclast differentiation",0.171019953881545,0.543007274293875,0.0929937736612274,0.330803249057588,118,0.725443739259257,0.423202701176182,0.01287674828679,0.911603511725932,0.088073108690497,0.0788266409580764
"hsa04662 B cell receptor signaling pathway",0.208955470509151,0.5438207228743,0.0930384137974466,0.330803249057588,70,0.683464626665131,0.256262231946131,0.0237337950621859,0.812158851860655,0.248582488266386,0.0991843441386045
"hsa00290 Valine, leucine and isoleucine biosynthesis",0.282253832528125,0.522750951240869,0.107222423072155,0.37099464496232,10,0.134362404567801,0.294382895348147,0.629951373108872,0.30574394158043,0.406088937548026,0.163441635711233
"hsa00450 Selenocompound metabolism",0.271519486047415,0.516628730067194,0.108979676957681,0.37099464496232,13,0.23025445162767,0.153030500378613,0.52880348318409,0.0824005954224436,0.477044971205092,0.547061314447954
"hsa00480 Glutathione metabolism",0.285803482177156,0.499948575459006,0.112141783998476,0.373805946661585,35,0.521639053286315,0.224671515527979,0.375409251358624,0.47037469426628,0.29651829828641,0.0888150497071983
"hsa02010 ABC transporters",0.291623560979511,0.494168616364901,0.114539632790119,0.374006964212633,36,0.181689814976731,0.176183024639149,0.410347861066682,0.184865099172334,0.504855798786947,0.501725942467773
"hsa00230 Purine metabolism",0.285409692871354,0.48226810011428,0.119133889117345,0.375787890783764,133,0.722834716640184,0.197861999789356,0.294379105661629,0.223172490252408,0.387851034623146,0.148319521901042
"hsa03410 Base excision repair",0.304127708132479,0.480141991737113,0.121670537806779,0.375787890783764,28,0.582815723889756,0.279003227190843,0.371865740139825,0.263370444626589,0.248045555875032,0.20031376417262
"hsa00040 Pentose and glucuronate interconversions",0.301121149048017,0.479559989641737,0.124259508562204,0.375787890783764,15,0.171281907933502,0.547893343350894,0.242686249237707,0.377901156262447,0.455426307334364,0.190194753959142
"hsa03420 Nucleotide excision repair",0.253771886755694,0.475841378596081,0.124528375056695,0.375787890783764,40,0.133974225305402,0.418208359795857,0.725928167370231,0.651178188057808,0.0542602032475247,0.185854113579247
"hsa00970 Aminoacyl-tRNA biosynthesis",0.25612724890213,0.470991045731444,0.128876728744406,0.375787890783764,30,0.646778656586448,0.0293138776515696,0.423751848708167,0.60361484182238,0.380103153415962,0.153155560535769
"hsa03022 Basal transcription factors",0.284895208297762,0.463397324233297,0.129980356772588,0.375787890783764,30,0.236491939775324,0.266330284374937,0.8016607408036,0.224055439178396,0.143673075759728,0.328967107595888
"hsa00010 Glycolysis / Gluconeogenesis",0.300792021077688,0.458979107376643,0.131525761774317,0.375787890783764,56,0.568664651316479,0.387328587753438,0.120741587871418,0.421771265808683,0.361816388592262,0.182490381492515
"hsa03040 Spliceosome",0.198029161970885,0.405312469044536,0.161424093582815,0.453120262688603,105,0.0790882784606056,0.0499727450305049,0.815147310577318,0.959312335637259,0.0595750009662523,0.327543799245309
"hsa04260 Cardiac muscle contraction",0.32367445044245,0.365934728304681,0.186058633699741,0.501066960339434,60,0.570744035679604,0.246141884283131,0.409111461171416,0.205655912165415,0.6649719524282,0.146297680280944
"hsa00603 Glycosphingolipid biosynthesis - globo series",0.338096059254718,0.36921005345607,0.187543970930341,0.501066960339434,13,0.517691158603145,0.148393471317073,0.243012467641711,0.329649759187586,0.504796700563233,0.480792057481991
"hsa00250 Alanine, aspartate and glutamate metabolism",0.321937257798342,0.365320494312381,0.187900110127288,0.501066960339434,27,0.145579440316857,0.155211820400606,0.723582128625703,0.402851748070125,0.390193078429668,0.43320150759864
"hsa00630 Glyoxylate and dicarboxylate metabolism",0.315432627028874,0.347394274605604,0.203954528679537,0.534962698175834,14,0.0661081170700201,0.437239862303735,0.708367040609501,0.313035764526706,0.264526941628961,0.580955577742714
"hsa04914 Progesterone-mediated oocyte maturation",0.344020318362962,0.323346094174088,0.214934128433125,0.541237983178255,74,0.330617552444385,0.640993505158734,0.519648803795039,0.249848173273757,0.13311305490706,0.452603871033915
"hsa04130 SNARE interactions in vesicular transport",0.326771880115531,0.322415285101813,0.217734300618284,0.541237983178255,31,0.17252279040663,0.460408256455684,0.398923876716996,0.564436490154952,0.0972283128921361,0.70013311723385
"hsa04650 Natural killer cell mediated cytotoxicity",0.15321234671468,0.322670111025133,0.219727435853464,0.541237983178255,113,0.887920583361853,0.882202629216847,0.000347584755512273,0.497091829273031,0.19975867397792,0.478428589855796
"hsa00533 Glycosaminoglycan biosynthesis - keratan sulfate",0.3598311932608,0.32188071732607,0.219877930666166,0.541237983178255,12,0.27764993829856,0.483942417163734,0.403846982688693,0.167018298693535,0.495682537966175,0.483189030030867
"hsa04962 Vasopressin-regulated water reabsorption",0.347944877235892,0.294148809426068,0.23697545337374,0.569524565108758,40,0.128580183034948,0.416589230784596,0.721673714223795,0.316676017613536,0.270384328542927,0.536096564406259
"hsa04144 Endocytosis",0.272052698175343,0.291606041647293,0.238644105640755,0.569524565108758,179,0.319495225502285,0.738067938511208,0.30253232893267,0.624058287275566,0.697160381595219,0.0130625470618007
"hsa04115 p53 signaling pathway",0.354918472223821,0.286779563089174,0.242047940171222,0.569524565108758,61,0.517177910569257,0.223983811792688,0.342923114738641,0.160459279487139,0.445383793984823,0.704075145991745
